State,PCT_LACCESS_POP15,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,LACCESS_CHILD15,PCT_LACCESS_WHITE15,PCT_LACCESS_BLACK15,PCT_LACCESS_HISP15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_MULTIR15,GROCPTH16,SUPERCPTH16,SNAPSPTH17,WICSPTH16,FFRPTH16,FSRPTH16,PCT_SNAP17,PCT_REDUCED_LUNCH15,PCT_OBESE_ADULTS17,RECFACPTH16,FOODINSEC_12_14,FOODINSEC_15_17,CH_FOODINSEC_14_17,VLFOODSEC_12_14,VLFOODSEC_15_17,CH_VLFOODSEC_14_17
New York,34704.785700946144,3633.1012473120695,2475.8554180527653,7852.283681996613,30077.0692047815,2019.7107795531226,2271.7236810258764,1170.5848049844649,109.9790944508413,10.54788277994837,1316.893923293708,0.30095518053225806,0.01589251620967742,0.827255095016129,0.14771102546774192,0.7102718626129032,1.0348044901129032,14.66489741,0,81417.5544032258,0.0944426714032258,12.3,17.9,5.6,4.6,6.6,2
North Carolina,0,2753.325887559168,0,0,0,0,0,0,0,0,0,0.19110075535,0.01656755842,0.9628910976,0.22460320834,0.66963627602,0.71711151052,13.2905527,0,32602.93959,0.06981573342,15.2,12.4,-2.8,6.3,5.1,-1.2
North Dakota,3667.8121713266873,172.58887890283208,216.05959350612906,761.6560633096226,3371.106688414777,36.35574351837019,72.8477074778249,29.23771230853,146.87420408692188,2.283501217696038,81.95432426404717,0.4563201131698113,0.009070033660377359,0,0,0.4155838626792453,1.0531035871320755,7.1152698,0,4725.381056603774,0.11792632298113208,14.4,10.9,-3.5,4.9,3.9,-1
Ohio,30341.862239951897,3179.945590275561,3837.8167716368653,7313.051046532045,25425.329541551968,3389.1237482843676,826.8264742043351,573.4733904174375,60.953007333127616,13.467556821973522,879.5149943320914,0.1714388055909091,0.022273886363636364,0.7708283718295454,0.14001256917045454,0.71351444875,0.5555272243522728,12.88142736,5951.631504890088,44688.98879545454,0.07261410022727273,16.9,13.7,-3.2,7.5,6.1,-1.4
Oklahoma,11336.797468515573,1091.4380067496515,1559.947430132619,2727.8143353016885,8035.097707414185,1167.4533440127148,880.6346623891714,205.25402871429844,903.6937874502645,11.479101078324849,1013.8195009401909,0.18477582637662338,0.023776746493506494,0.977483908038961,0.18954687775324675,0.49164879157142855,0.6620945545714285,15.36293717,0,18613.905,0.03908496574025974,16.5,15,-1.5,6.6,6.4,-0.2
Oregon,18170.145182438886,1392.5172544823347,2978.066321136097,4163.193122938889,15585.587060582217,208.92068520514417,1748.5530624929493,619.8889848726886,330.02712712002415,43.667056582246666,1382.0542654533824,0.28742977105555556,0.035952724472222225,1.0295398601944443,0,0.6416959503611112,1.308056723888889,16.4303014,0,33413.132666666665,0.09158134455555555,16.1,12.9,-3.2,6.3,5.4,-0.9
Pennsylvania,37949.0408654463,4243.572582256568,3082.4543426730356,8513.104971510746,33835.62284705453,2053.6207476471513,1297.2688469375628,964.012266209497,55.59622726162657,9.01578155597,1031.1729961278243,0.19878239646268656,0.014324571940298507,0.756871142880597,0.13391874376119403,0.6005121661343283,0.7567548103731343,14.39178289,6624.996239256263,60292.50758208955,0.08499923337313432,11.3,12.1,0.8,4.6,4,-0.6
Rhode Island,46949.2542291189,3250.0520813148,4136.651537007662,9380.776888800001,43490.659775675376,933.598770419512,1601.8138801594118,914.68126540866,152.98796138598598,13.975074529282,1443.351393783386,0.1747718498,0.008958186,0.6757436122,0.1228625328,0.803848336,1.2305193448,15.92860084,11462.765327260578,63423.78,0.1450978254,12.7,12.4,-0.3,4.7,5.6,0.9
South Carolina,24715.39035402212,3756.6982033935446,3611.0895959230816,5522.6114754204345,15796.527971414689,7244.71504046956,1504.9356498675413,359.41270232797524,98.64115366086233,14.189226747228913,1201.9042625243085,0.17434050178260868,0.019046978043478262,1.107336701673913,0.13957059306521738,0.5914286123478261,0.6307123965869565,14.32970654,5104.780696275951,36755.61163043478,0.05249743710869565,13.9,11.7,-2.2,5.3,4.2,-1.1
South Dakota,4237.186063335222,255.19189869177924,445.9724983920914,979.4451140410606,3728.9350894005483,29.850701873156968,87.71363114979893,25.97868190359061,339.27209149096666,1.2632383315466666,111.88625837228152,0.3852384232727273,0.007299022803030303,0,0,0.4909625084545455,0.9973098563333334,10.72348465,0,4170.635,0.06475656731818182,11.9,11.4,-0.5,4.8,4.3,-0.5
Tennessee,0,1818.1731420585786,0,0,0,0,0,0,0,0,0,0.18027089757894738,0.022277276463157896,1.0200366443789475,0.1693452021263158,0.5639012688105263,0.5535309576947368,15.59053124,0,22942.77482105263,0.048210295221052635,16.3,12.9,-3.4,6.2,5.7,-0.5
Texas,0,1808.9561292383444,0,0,0,0,0,0,0,0,0,0.19984016503937008,0.014389637539370078,0,0,0.6427140657440945,0.6595980622874016,13.85385434,0,36296.74157480315,0.051422130106299216,17.2,14,-3.2,6.2,5.8,-0.4
Utah,20914.662621732245,954.8358550316686,1516.371602169708,6444.276040255518,18572.36267006924,171.82253419628586,2017.2865001127477,293.4326553115314,388.37538390496724,123.04861063270104,1365.6207578114138,0.29933645793103447,0.014760496551724138,0.7445955425172414,0,0.8493754686206897,0.9620379035172414,6.650863109,7850.251114554912,26544.175482758623,0.05965951203448276,13.3,10.7,-2.6,4.7,3.9,-0.8
Vermont,5122.549102202959,1221.5884810711793,723.1167861861508,1114.0521554247143,4881.079634695142,50.52663566118142,80.3780030385055,70.89880735400929,14.261238503684286,1.1087749826892856,104.67401851715286,0.35786256914285713,0.0019007221428571429,1.0454420314285715,0.20125359871428572,0.5700378982142857,1.0155107270714285,12.27571138,3043.8102357576267,12294.696000000002,0.13194550221428572,10.1,10.1,0,4.3,4.4,0.1
Virginia,0,0,0,0,0,0,0,0,0,0,0,0.2110514457518797,0.02478948139849624,0,0,0.7071410052030075,0.860010356481203,9.156390225,0,19035.29884210526,0.09372171460902255,12.6,9.8,-2.8,6,3.6,-2.4
Washington,44770.525155946896,3595.074727115195,6603.187821488544,9399.247710411231,38311.0621058649,534.5163227829077,2317.3492292760757,926.651903699574,2506.445581473613,89.99843836813974,2401.850799064334,0.28187304074358976,0.023216511666666665,0.7857941995641026,0.18691110261538463,0.5840751249230769,0.8705606727179487,12.463838507307692,16182.582749980413,51822.85723076922,0.0962019991025641,13.671794871794871,10.774358974358975,-2.8974358974358974,5.512820512820513,4.087179487179487,-1.4256410256410255
West Virginia,4579.329768721526,1543.627232287932,672.6721216623064,1409.1586723894181,4365.532723150837,101.81659993996473,60.21161060694418,22.03385913826618,12.075958355865636,2.460494729286182,75.41013190526927,0.21123029376363636,0.021579119036363635,1.1715038369454545,0.1897896074,0.5117185882,0.6203013518,18.628339098545453,0,12651.686927272727,0.04463384618181818,11.441818181818181,10.014545454545454,-1.4272727272727272,4.910909090909091,3.805454545454545,-1.1054545454545455
Wisconsin,0,2610.5096850674004,0,0,0,0,0,0,0,0,0,0.20157817173611112,0.02007599590277778,0.7328806724861111,0.21932794830555555,0.5351844278472222,1.1098927115972221,12.028569421805557,0,25674.510986111112,0.088897761875,15.245833333333334,14.831944444444444,-0.4138888888888889,5.886111111111111,6.166666666666667,0.28055555555555556
Wyoming,5780.696235409274,322.2089552125556,309.1731489732522,1953.8139154434782,5430.891544617187,25.254588107616957,384.31285801086307,28.728346947106086,49.85210522446478,3.7430938815395653,242.22655858210825,0.22710790817391305,0.015425370347826088,0.6623001350434783,0.2168024677826087,0.6407326119565218,1.1789641184347825,5.94091916347826,0,7369.061565217392,0.15316689269565217,14.056521739130435,13.27391304347826,-0.782608695652174,5.326086956521739,5.147826086956521,-0.1782608695652174
NA,0,0,0,252.6116052,0,0,0,0,0,0,0,0.555709919,0,1.239112651,0.415915698,0.555709919,1.389274799,5.668505045,0,0,0,14,13.2,-0.8,5.3,5.1,-0.2
